Date,Discharge (m3/s)
2004-04-14,4400.53
2004-04-15,4686.81
2004-04-16,4752.43
2004-04-17,4812.62
2004-04-18,4947.65
2004-04-19,5007.37
2004-04-20,4992.53
2004-04-21,4856.36
2004-04-22,5028.4
2004-04-23,5015.18
2004-04-24,5055.87
2004-04-25,4973.29
2004-04-26,4890.4
2004-04-27,4799.42
2004-04-28,4728.87
2004-04-29,4767.56
2004-04-30,4803.39
2004-05-01,4870.2
2004-05-02,4962.58
2004-05-03,5057.16
2004-05-04,5130.91
2004-05-05,5201.86
2004-05-06,5280.23
2004-05-07,5338.07
2004-05-08,5312.22
2004-05-09,5253.3
2004-05-10,5209.51
2004-05-11,5155.45
2004-05-12,5080.79
2004-05-13,5039.27
2004-05-14,5064.41
2004-05-15,5107.45
2004-05-16,5142.73
2004-05-17,5183.07
2004-05-18,5360.38
2004-05-19,5629.28
2004-05-20,5771.16
2004-05-21,5971.62
2004-05-22,6082.07
2004-05-23,6221.59
2004-05-24,6223.56
2004-05-25,6220.62
2004-05-26,6207.9
2004-05-27,6168.18
2004-05-28,6140.69
2004-05-29,6123
2004-05-30,6122.52
2004-05-31,6153.97
2004-06-01,6178.02
2004-06-02,6211.86
2004-06-03,6384.58
2004-06-04,6463.21
2004-06-05,6485.87
2004-06-06,6445.39
2004-06-07,6443.76
2004-06-08,6410.52
2004-06-09,6360.19
2004-06-10,6309
2004-06-11,6240.94
2004-06-12,6160.45
2004-06-13,6187.81
2004-06-14,6261.69
2004-06-15,6244.95
2004-06-16,6189
2004-06-17,6208.72
2004-06-18,6309.05
2004-06-19,6426.05
2004-06-20,6557.1
2004-06-21,6774.23
2004-06-22,7004.14
2004-06-23,7230.01
2004-06-24,7073.02
2004-06-25,7298.04
2004-06-26,7516.84
2004-06-27,7652.45
2004-06-28,7761.89
2004-06-29,7861.69
2004-06-30,7944.96
2004-07-01,8062.76
2004-07-02,8147.88
2004-07-03,8228.21
2004-07-04,8276.19
2004-07-05,8280.46
2004-07-06,8307.7
2004-07-07,8502.1
2004-07-08,8611.33
2004-07-09,8670.2
2004-07-10,8840.16
2004-07-11,9058.98
2004-07-12,9267.71
2004-07-13,9450.84
2004-07-14,9588.71
2004-07-15,9679.52
2004-07-16,9790.09
2004-07-17,9834.05
2004-07-18,9889.02
2004-07-19,10076.06
2004-07-20,10457.17
2004-07-21,10718.1
2004-07-22,10882.51
2004-07-23,10955.71
2004-07-24,11022.32
2004-07-25,11041.43
2004-07-26,11047.59
2004-07-27,11049.43
2004-07-28,11036.18
2004-07-29,11029.4
2004-07-30,10968.65
2004-07-31,10933.77
2004-08-01,10903.19
2004-08-02,10866.1
2004-08-03,10835.48
2004-08-04,10802.67
2004-08-05,10696.05
2004-08-06,10652.28
2004-08-07,9639.59
2004-08-08,9629.34
2004-08-09,9632.43
2004-08-10,9602.17
2004-08-11,9596.36
2004-08-12,9590.56
2004-08-13,9535.76
2004-08-14,9001.39
2004-08-15,8941.13
2004-08-16,8896.63
2004-08-17,8847.55
2004-08-18,8802.94
2004-08-19,8769.63
2004-08-20,8745.38
2004-08-21,8517.82
2004-08-22,8481.76
2004-08-23,8425.07
2004-08-24,8372.88
2004-08-25,8327.51
2004-08-26,8364.74
2004-08-27,8344.6
2004-08-28,8205.86
2004-08-29,8216.68
2004-08-30,8278.1
2004-08-31,8284.3
2004-09-01,8315.76
2004-09-02,8258.8
2004-09-03,8216.58
2004-09-04,8206.56
2004-09-05,8095.03
2004-09-06,8045.68
2004-09-07,7975.41
2004-09-08,7870.13
2004-09-09,8224.28
2004-09-10,8282.45
2004-09-11,8310.67
2004-09-12,8366.41
2004-09-13,8636.73
2004-09-14,8696.54
2004-09-15,8688.09
2004-09-16,8549.78
2004-09-17,8497.5
2004-09-18,8392.46
2004-09-19,8275.64
2004-09-20,8160.75
2004-09-21,8029.31
2004-09-22,7881.13
2004-09-23,8108.99
2004-09-24,7943.45
2004-09-25,7847.01
2004-09-26,7705.93
2004-09-27,7576.04
2004-09-28,7419.73
2004-09-29,7227.17
2004-09-30,7644.09
2004-10-01,7648.41
2004-10-02,7577.77
2004-10-03,7492.88
2004-10-04,7403.08
2004-10-05,7289.39
2004-10-06,7215.62
2004-10-07,7451.69
2004-10-08,7571.43
2004-10-09,7839.95
2004-10-10,8074.14
2004-10-11,8219.44
2004-10-12,8295.29
2004-10-13,8405.37
2004-10-14,8168.99
2004-10-15,8203.01
2004-10-16,8230.09
2004-10-17,8201.91
2004-10-18,8171.4
2004-10-19,8131.64
2004-10-20,8061.78
2004-10-21,7774.89
2004-10-22,7671.52
2004-10-23,7553.78
2004-10-24,7447.39
2004-10-25,7328.86
2004-10-26,7212.27
2004-10-27,7069.09
2004-10-28,6886.81
2004-10-29,6630.03
2004-10-30,6363.71
2004-10-31,6057.93
2004-11-01,5711.33
2004-11-02,5354.87
2004-11-03,4988.03
2004-11-04,5468.41
2004-11-05,5163.46
2004-11-06,4875.19
2004-11-07,4682.45
2004-11-08,4503.72
2004-11-09,4387.01
2004-11-10,4647.72
2004-11-11,4620.96
2004-11-12,4602.04
2004-11-13,4498.96
2004-11-14,4513.96
2004-11-15,4486.88
2004-11-16,4488.73
2004-11-17,4406.08
2004-11-18,4224.5
2004-11-19,4098.9
2004-11-20,4023.5
2004-11-21,3874.79
2004-11-22,3821.23
2004-11-23,3747.46
2004-11-24,3761.33
2005-05-05,3873.46
2005-05-06,3927.76
2005-05-07,4225.75
2005-05-08,4173.83
2005-05-09,4328.77
2005-05-10,4366.36
2005-05-11,4376.37
2005-05-12,4255.52
2005-05-13,4265.67
2005-05-14,4165.76
2005-05-15,4096.88
2005-05-16,4062.42
2005-05-17,4004.16
2005-05-18,3904.72
2005-05-19,3905.84
2005-05-20,4135.95
2005-05-21,4398.95
2005-05-22,4677.12
2005-05-23,4911.93
2005-05-24,5049.59
2005-05-25,5247.62
2005-05-26,5288.54
2005-05-27,5403.62
2005-05-28,5487.02
2005-05-29,5623.92
2005-05-30,5689.9
2005-05-31,5748.82
2005-06-01,5854.27
2005-06-02,5292.04
2005-06-03,5400.45
2005-06-04,5612.15
2005-06-05,5796.2
2005-06-06,5930.8
2005-06-07,6123.18
2005-06-08,6255.01
2005-06-09,5814.26
2005-06-10,5980.77
2005-06-11,6068.8
2005-06-12,6095.9
2005-06-13,6166.12
2005-06-14,6254.45
2005-06-15,6260.02
2005-06-16,5561.32
2005-06-17,5560.91
2005-06-18,5706.38
2005-06-19,5834.44
2005-06-20,6012.98
2005-06-21,6148.99
2005-06-22,6364.7
2005-06-23,6054.22
2005-06-24,6245.67
2005-06-25,6600.52
2005-06-26,6906.6
2005-06-27,7177.7
2005-06-28,7424.25
2005-06-29,7546.48
2005-06-30,7747.63
2005-07-01,7801.35
2005-07-02,7932.83
2005-07-03,7979.28
2005-07-04,8170.52
2005-07-05,8354.81
2005-07-06,8446.28
2005-07-07,7884.38
2005-07-08,7965.54
2005-07-09,8054.21
2005-07-10,8165.27
2005-07-11,8302.58
2005-07-12,8563.28
2005-07-13,8750
2005-07-14,8359.6
2005-07-15,8652.04
2005-07-16,8874.34
2005-07-17,9089.78
2005-07-18,9332.2
2005-07-19,9560.22
2005-07-20,9895.16
2005-07-21,9890.84
2005-07-22,10025.71
2005-07-23,10210.34
2005-07-24,10303.71
2005-07-25,10454.51
2005-07-26,10529.01
2005-07-27,10572.95
2005-07-28,10443.32
2005-07-29,10528.21
2005-07-30,10540.46
2005-07-31,10529.75
2005-08-01,10476.97
2005-08-02,10462.45
2005-08-03,10482.34
2005-08-04,10399.02
2005-08-05,10323.42
2005-08-06,10354.72
2005-08-07,10431.89
2005-08-08,10539.73
2005-08-09,9383.42
2005-08-10,9893.12
2005-08-11,9387.2
2005-08-12,9499.91
2005-08-13,9590.06
2005-08-14,9672.74
2005-08-15,9672.11
2005-08-16,9773.83
2005-08-17,9833.91
2005-08-18,9341.91
2005-08-19,9500.22
2005-08-20,9662.62
2005-08-21,9825.34
2005-08-22,10030.21
2005-08-23,10250.83
2005-08-24,10510.23
2005-08-25,9670.83
2005-08-26,9800.86
2005-08-27,9972.9
2005-08-28,10137.66
2005-08-29,10295.11
2005-08-30,10437.54
2005-08-31,10584.02
2005-09-01,10665.59
2005-09-02,10735.72
2005-09-03,9982.04
2005-09-04,9954.56
2005-09-05,9900.49
2005-09-06,9876.83
2005-09-07,9811.43
2005-09-08,9636.74
2005-09-09,9487.89
2005-09-10,9267.63
2005-09-11,9089.34
2005-09-12,8918.97
2005-09-13,8689.08
2005-09-14,8583.2
2005-09-15,9142.18
2005-09-16,8816.04
2005-09-17,8457.71
2005-09-18,8123.41
2005-09-19,7798.08
2005-09-20,7547.89
2005-09-21,7298.65
2005-09-22,8177.29
2005-09-23,7939.2
2005-09-24,7735.16
2005-09-25,7513.34
2005-09-26,7369.31
2005-09-27,7214.63
2005-09-28,7049.36
2005-09-29,6906.4
2005-09-30,6741.98
2005-10-01,6843.12
2005-10-02,6893.41
2005-10-03,6889.07
2005-10-04,6830.13
2005-10-05,6778.52
2005-10-06,7888.08
2005-10-07,7651.81
2005-10-08,7438.41
2005-10-09,7185.46
2005-10-10,6897.09
2005-10-11,6577.49
2005-10-12,6227.27
2005-10-13,7357.43
2005-10-14,7062.25
2005-10-15,6757.63
2005-10-16,6454.55
2005-10-17,6217.88
2005-10-18,6003.75
2005-10-19,5776.23
2005-10-20,6475.61
2005-10-21,6281.87
2005-10-22,6063.68
2005-10-23,5928.62
2005-10-24,5801.09
2005-10-25,5606.25
2005-10-26,5408.65
2005-10-27,6248.25
2005-10-28,6098.71
2005-10-29,6006.93
2005-10-30,5872.38
2005-10-31,5727.49
2005-11-01,5600.8
2005-11-02,5403.57
2005-11-03,6266.28
2005-11-04,6041
2005-11-05,5884.57
2005-11-06,5696.56
2005-11-07,5477.34
2005-11-08,5192.13
2005-11-09,4989.29
2005-11-10,5126.31
2005-11-11,4910.47
2005-11-12,4688.77
2005-11-13,4537.63
2005-11-14,4536.11
2005-11-15,4406.32
2005-11-16,4325.24
2005-11-17,4772.37
2005-11-18,4752.59
2005-11-19,4572.59
2005-11-20,4379.64
2005-11-21,4149.91
2005-11-22,4031.04
2005-11-23,3847.8
2005-11-24,3622.45
2005-11-25,3553.27
2005-11-26,3527.89
2005-11-27,3491.84
2005-11-28,3510.05
2005-11-29,3590.1
2005-11-30,3681.28
2005-12-01,3809.84
2005-12-02,3864.87
2005-12-03,3916.3
2005-12-04,3864.63
2005-12-05,3721.08
2005-12-06,3629.91
2005-12-07,3398.26
2005-12-08,3358.58
2005-12-09,3372.64
2005-12-10,3282.71
2005-12-11,3243.36
2005-12-12,3154.24
2005-12-13,3037.24
2005-12-14,2994.7
2005-12-15,2938.32
2005-12-16,3080.82
2005-12-17,3158.53
2005-12-18,2984.73
2005-12-19,2948.04
2005-12-20,2825.07
2005-12-21,2733.48
2005-12-22,2680.84
2005-12-23,2703.79
2005-12-24,2835.79
2005-12-25,2871.22
2005-12-26,2773.01
2005-12-27,2661.73
2005-12-28,2707.06
2005-12-29,2707.36
2005-12-30,2777.1
2005-12-31,2843.52
2006-01-01,2913.71
2006-01-02,3005.58
2006-01-03,3033.55
2006-01-04,3030.2
2006-01-05,2951.97
2006-01-06,2808.36
2006-01-07,2644.4
2006-01-08,2589.03
2006-01-09,2390.64
2006-01-10,2250.19
2006-01-11,2189.33
2006-01-12,2206.12
2006-01-13,2159.05
2006-01-14,2337.97
2006-01-15,2283.46
2006-01-16,2430.65
2006-01-17,2471.73
2006-01-18,2427.85
2006-01-19,2417.98
2006-01-20,2338.68
2006-01-21,2246.76
2006-01-22,2135.49
2006-01-23,2011.42
2006-01-24,1866.3
2006-01-25,1777.97
2006-01-26,1529.59
2006-01-27,1677.43
2006-01-28,1844.74
2006-01-29,2100.73
2006-01-30,2308.57
2006-01-31,2424.69
2006-02-01,2402.96
2006-02-02,2589.51
2006-02-03,2623.87
2006-02-04,2540.57
2006-02-05,2478.3
2006-02-06,2478.3
2006-02-07,2034.83
2006-02-08,1964.9
2006-02-09,1911.87
2006-02-10,1931.63
2006-02-11,1955.38
2006-02-12,1935.6
2006-02-13,1989.3
2006-02-14,2126.71
2006-02-15,2337.56
2006-02-16,2510.38
2006-02-17,2623.64
2006-02-18,2647.97
2006-02-19,2550.96
2006-02-20,2400.05
2006-02-21,2338.63
2006-02-22,2294.59
2006-02-23,2209.82
2006-02-24,2104.93
2006-02-25,2166.31
2006-02-26,2163.1
2006-02-27,2379.88
2006-02-28,2585.15
2006-03-01,2818.95
2006-03-02,2938.83
2006-03-03,2917.68
2006-03-04,2710.93
2006-03-05,2457.99
